Group	Day	Day_of_diet	Experiment	Sampletype	SampleID	Sequencing plate	Mouse	Amuc	Bc	Mfor	Bar	Bo	Bt	Bu	Col	Csum	Des	Ecol	Eur	Fpra	Ros
FR	54	FF	1	fecal	02DEC_16_pl1	1	16	33.4	19.9	1.5	1.7	1.0	4.6	11.9	2.0	3.7	4.0	15.8	0.1	0.0	0.4
FR	54	FF	1	cecal	Cecal16_pl2	2	16	32.1	22.1	0.9	2.1	1.6	6.0	18.4	2.3	4.2	6.2	3.6	0.1	0.0	0.4
FR	54	FF	1	fecal	02DEC_17_pl1	1	17	36.7	18.8	1.1	1.5	1.9	4.3	8.8	1.6	4.3	4.0	16.0	0.0	0.0	0.9
FR	54	FF	1	cecal	Cecal17_pl2	2	17	35.4	9.7	1.5	5.0	2.2	9.0	13.8	2.9	7.2	6.3	6.5	0.0	0.0	0.4
FP	54	FF	1	fecal	02DEC_21_pl1	1	21	35.5	17.0	0.7	1.4	3.1	6.3	11.4	1.9	3.7	5.5	11.2	0.1	1.7	0.5
FP	54	FF	1	cecal	Cecal21_pl2	2	21	35.0	21.5	0.6	1.1	2.0	7.8	13.1	2.5	4.2	7.2	3.0	0.0	1.6	0.5
FP	54	FF	1	fecal	02DEC_22_pl1	1	22	38.0	15.0	0.8	2.2	1.9	5.3	13.8	1.1	3.4	4.9	9.9	0.1	2.6	0.9
FP	54	FF	1	cecal	Cecal22_pl2	2	22	35.2	18.2	0.6	1.7	1.1	7.2	13.5	3.4	4.5	8.7	2.5	0.0	2.5	0.8
FP	54	FF	1	fecal	02DEC_23_pl1	1	23	37.7	17.5	1.2	1.2	3.1	4.4	12.0	2.0	5.9	5.6	9.2	0.1	0.0	0.0
FP	54	FF	1	cecal	Cecal23_pl2	2	23	40.5	13.6	1.4	3.1	2.4	7.5	11.0	3.4	7.7	3.8	5.6	0.2	0.0	0.0
F	54	FF	1	fecal	02DEC_01_pl1	1	1	34.1	20.7	0.5	2.2	2.5	7.6	9.2	1.6	4.0	5.2	10.3	0.1	1.5	0.6
F	54	FF	1	cecal	Cecal01_pl1	1	1	30.7	20.4	0.5	3.3	2.0	6.1	11.2	2.6	5.2	9.2	6.1	0.0	2.0	0.7
F	54	FF	1	fecal	02DEC_02_pl1	1	2	34.2	20.2	0.8	2.6	2.4	7.9	10.0	1.1	4.7	6.0	8.2	0.0	1.3	0.6
F	54	FF	1	cecal	Cecal02_pl1	1	2	35.6	21.5	1.2	3.4	2.1	7.5	8.5	0.4	6.0	7.0	3.7	0.2	1.9	0.9
F	54	FF	1	fecal	02DEC_03_pl1	1	3	41.9	15.4	1.6	2.6	1.9	6.0	9.5	3.0	3.6	4.3	10.2	0.1	0.0	0.0
F	54	FF	1	fecal	02DEC_04_pl1	1	4	34.9	18.5	0.5	1.2	3.2	3.7	13.0	2.1	4.0	5.6	13.2	0.2	0.0	0.0
F	54	FF	1	cecal	Cecal04_pl1	1	4	28.1	20.7	0.5	1.8	3.0	4.6	17.6	1.4	6.1	7.9	8.1	0.1	0.0	0.0
R	54	FR	1	fecal	02DEC_05_pl1	1	5	18.6	2.9	7.5	1.3	13.3	13.7	7.3	1.3	1.1	1.8	5.7	18.9	3.1	3.5
R	54	FR	1	cecal	Cecal05_pl1	1	5	16.3	3.8	3.9	1.8	14.0	18.8	10.2	0.4	1.8	1.9	5.9	14.7	2.5	3.9
R	54	FR	1	fecal	02DEC_06_pl1	1	6	22.1	2.3	8.9	1.6	14.4	10.1	7.0	0.5	0.9	1.7	7.7	16.1	2.9	3.7
R	54	FR	1	cecal	Cecal06_pl1	1	6	16.8	3.7	1.9	1.9	18.4	14.2	9.9	0.4	2.2	1.7	4.8	16.5	3.6	4.1
R	54	FR	1	fecal	02DEC_07_pl1	1	7	23.4	2.6	7.6	1.5	13.3	10.7	6.2	1.2	1.1	1.5	11.9	14.8	0.0	4.1
R	54	FR	1	cecal	Cecal07_pl1	1	7	21.2	3.8	5.3	2.0	15.6	14.5	8.0	0.2	2.0	2.4	9.7	11.6	0.0	3.7
R	54	FR	1	fecal	02DEC_08_pl1	1	8	22.8	3.1	9.4	1.7	14.0	11.2	8.0	1.1	1.0	1.7	6.7	17.0	0.0	2.2
R	54	FR	1	cecal	Cecal08_pl1	1	8	21.0	4.5	3.4	1.8	15.1	13.7	10.2	0.5	2.5	2.2	3.9	17.0	0.0	4.2
P	54	pre	1	fecal	02DEC_09_pl1	1	9	54.8	6.3	10.0	0.1	2.3	3.1	2.9	6.9	4.8	0.8	2.7	5.4	0.0	0.0
P	54	pre	1	cecal	Cecal09_pl1	1	9	29.9	15.0	0.3	1.2	5.9	6.5	19.6	1.7	4.4	6.5	3.8	0.7	1.8	2.8
P	54	pre	1	fecal	02DEC_10_pl1	1	10	33.1	13.1	3.1	1.5	6.0	9.9	15.8	1.3	4.0	3.9	6.0	2.2	0.0	0.0
P	54	pre	1	cecal	Cecal10_pl1	1	10	31.3	17.8	0.6	1.0	2.6	14.6	18.1	1.0	5.2	3.6	3.1	1.1	0.0	0.0
P	54	pre	1	fecal	02DEC_11_pl1	1	11	36.6	11.3	0.4	1.4	5.4	6.8	12.8	1.4	4.4	5.7	8.0	0.6	2.4	2.8
P	54	pre	1	cecal	Cecal11_pl1	1	11	30.1	15.7	1.9	1.2	5.7	11.8	19.0	1.1	4.6	3.9	3.4	1.5	0.0	0.0
